eval_split,physical_perturbation_profile,method,hm_min_recall_p95,macro_f1_p95
stress_holdout,calibration_shift_stress_neg,LogisticMulticlassMain,0.0,0.0792458791208791
stress_holdout,combined_stress_high,LogisticMulticlassMain,0.0,0.05518617614269787
stress_holdout,nominal,LogisticMulticlassMain,0.0,0.071130328005328
stress_holdout,resolution_blur_stress_high,LogisticMulticlassMain,0.0,0.10338516483516477
stress_holdout,source_energy_scale_stress_low,LogisticMulticlassMain,0.25,0.07788690476190473
validation,calibration_shift_validation_mid,LogisticMulticlassMain,0.0,0.06640638528138526
validation,combined_validation_mid,LogisticMulticlassMain,0.0,0.08420822890559732
validation,nominal,LogisticMulticlassMain,0.13749999999999973,0.08021590909090907
validation,resolution_blur_validation_mid,LogisticMulticlassMain,0.0,0.04930341880341879
validation,source_energy_scale_validation_mid,LogisticMulticlassMain,0.13749999999999973,0.051438492063492054
