row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,v6c_hm_source_design_smoke,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2101,0,4.115,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_calibration_mono_50kev_normal_narrow_seed2101.txt,ms_v6c_hm_source_design_smoke_calibration_mono_50kev_normal_narrow_seed2101
1,v6c_hm_source_design_smoke,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2201,0,1.909,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_calibration_mono_50kev_normal_narrow_seed2201.txt,ms_v6c_hm_source_design_smoke_calibration_mono_50kev_normal_narrow_seed2201
2,v6c_hm_source_design_smoke,calibration,AIR_PATH,mono_70kev_normal_narrow,1.0,2101,0,1.788,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_calibration_mono_70kev_normal_narrow_seed2101.txt,ms_v6c_hm_source_design_smoke_calibration_mono_70kev_normal_narrow_seed2101
3,v6c_hm_source_design_smoke,calibration,AIR_PATH,mono_70kev_normal_narrow,1.0,2201,0,1.821,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_calibration_mono_70kev_normal_narrow_seed2201.txt,ms_v6c_hm_source_design_smoke_calibration_mono_70kev_normal_narrow_seed2201
4,v6c_hm_source_design_smoke,material,Hematite,mono_50kev_normal_narrow,5.0,2101,0,4.547,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_hematite_mono_50kev_normal_narrow_5mm_seed2101.txt,ms_v6c_hm_source_design_smoke_hematite_mono_50kev_normal_narrow_5mm_seed2101
5,v6c_hm_source_design_smoke,material,Hematite,mono_50kev_normal_narrow,5.0,2201,0,4.195,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_hematite_mono_50kev_normal_narrow_5mm_seed2201.txt,ms_v6c_hm_source_design_smoke_hematite_mono_50kev_normal_narrow_5mm_seed2201
6,v6c_hm_source_design_smoke,material,Hematite,mono_70kev_normal_narrow,5.0,2101,0,4.486,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_hematite_mono_70kev_normal_narrow_5mm_seed2101.txt,ms_v6c_hm_source_design_smoke_hematite_mono_70kev_normal_narrow_5mm_seed2101
7,v6c_hm_source_design_smoke,material,Hematite,mono_70kev_normal_narrow,5.0,2201,0,4.789,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_hematite_mono_70kev_normal_narrow_5mm_seed2201.txt,ms_v6c_hm_source_design_smoke_hematite_mono_70kev_normal_narrow_5mm_seed2201
8,v6c_hm_source_design_smoke,material,Magnetite,mono_50kev_normal_narrow,5.0,2101,0,3.515,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_magnetite_mono_50kev_normal_narrow_5mm_seed2101.txt,ms_v6c_hm_source_design_smoke_magnetite_mono_50kev_normal_narrow_5mm_seed2101
9,v6c_hm_source_design_smoke,material,Magnetite,mono_50kev_normal_narrow,5.0,2201,0,3.016,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_magnetite_mono_50kev_normal_narrow_5mm_seed2201.txt,ms_v6c_hm_source_design_smoke_magnetite_mono_50kev_normal_narrow_5mm_seed2201
10,v6c_hm_source_design_smoke,material,Magnetite,mono_70kev_normal_narrow,5.0,2101,0,3.244,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_magnetite_mono_70kev_normal_narrow_5mm_seed2101.txt,ms_v6c_hm_source_design_smoke_magnetite_mono_70kev_normal_narrow_5mm_seed2101
11,v6c_hm_source_design_smoke,material,Magnetite,mono_70kev_normal_narrow,5.0,2201,0,4.811,source_models/config/material_sorting_matrix/v6c_hm_source_design_smoke/ms_v6c_hm_source_design_smoke_magnetite_mono_70kev_normal_narrow_5mm_seed2201.txt,ms_v6c_hm_source_design_smoke_magnetite_mono_70kev_normal_narrow_5mm_seed2201
